13501906954 0000000001 A
13501906954 0000000002 A
13501906954 0000000002 D
13501906954 0000000003 A
13501906954 0000000003 D
13501906954 0000000003 A
13501906954 0000000003 D
13501906954 0000000003 A
13501906954 0000000003 D
13501906954 0000000003 A
13501906954 0000000003 D
13501906954 0000000003 A
13501906954 0000000003 D
13501906954 0000000003 A
13501906954 0000000003 D
13501906954 0000000003 A
13501906954 0000000003 D
13501906954 0000000003 A
13501906954 0000000003 D
13501906954 0000000003 A
13501906954 0000000003 D
13601906954 0000000003 A
13601906954 0000000003 D
0000000003 13601906954 A
0000000003 13601906954 D
